day_of_week,hum,weathersit,holiday,season,temp,hr,cnt
4,0.62,1,0,4,0.36,16,250
6,0.64,1,0,2,0.54,4,18
2,0.53,1,0,2,0.62,23,107
5,0.87,2,0,2,0.36,8,145
1,0.55,1,0,3,0.76,18,857
0,0.72,1,0,4,0.46,0,45
1,0.54,1,0,3,0.7,22,216
6,0.93,1,0,1,0.26,9,40
3,1.0,2,0,4,0.54,4,7
5,0.24,1,0,2,0.82,16,534
1,0.78,1,0,3,0.66,5,21
2,1.0,2,0,1,0.44,18,280
1,0.6,1,0,1,0.26,7,279
1,0.38,1,0,1,0.44,14,138
1,0.78,1,0,2,0.58,22,83
1,0.52,1,0,1,0.28,15,65
0,0.8,1,0,1,0.22,5,16
1,0.37,1,0,3,0.76,14,302
6,0.3,2,0,1,0.4,14,161
0,0.83,3,0,3,0.66,7,230
1,0.94,1,0,4,0.38,8,662
1,0.61,2,0,2,0.68,8,477
2,0.73,1,0,4,0.56,8,838
0,0.54,1,0,3,0.72,14,275
3,0.55,1,0,1,0.52,21,124
6,0.35,1,0,1,0.4,20,47
1,0.64,2,0,2,0.6,11,217
1,0.41,1,0,3,0.62,23,131
4,0.74,2,0,3,0.66,11,192
1,0.49,1,0,2,0.34,22,55
5,0.53,1,0,2,0.6,23,183
5,0.72,1,0,3,0.46,3,28
6,0.41,1,0,3,0.82,14,349
2,0.93,1,0,1,0.34,13,75
6,0.33,1,0,4,0.6,16,691
4,0.41,1,0,1,0.46,15,55
5,0.44,1,0,1,0.42,15,182
0,0.77,1,0,2,0.42,5,23
6,0.89,2,0,3,0.64,19,292
3,0.93,3,0,2,0.24,3,1
3,1.0,2,0,2,0.48,5,34
4,0.83,2,0,3,0.62,6,151
3,0.73,1,0,2,0.6,6,178
5,0.55,1,0,3,0.8,12,694
5,0.61,1,0,3,0.62,5,14
6,0.88,1,0,4,0.46,0,129
3,0.24,1,0,2,0.58,16,269
0,0.88,3,0,2,0.54,8,156
6,0.66,1,0,3,0.72,15,624
5,0.61,1,0,2,0.32,22,55
5,0.7,1,0,1,0.26,1,43
0,0.71,1,0,4,0.38,2,5
3,0.87,1,0,1,0.36,6,91
3,0.6,2,0,1,0.54,11,204
5,0.52,1,0,3,0.82,2,61
6,0.88,2,0,3,0.6,1,130
1,0.63,1,0,1,0.46,20,180
4,0.55,2,0,3,0.76,20,202
5,0.57,2,0,4,0.64,13,710
0,0.72,2,0,4,0.52,20,256
3,0.54,1,0,2,0.42,2,7
1,0.43,1,0,1,0.16,14,79
0,0.66,1,0,3,0.74,23,91
2,0.88,3,0,4,0.52,10,123
4,0.39,1,0,3,0.88,13,300
0,0.45,1,1,1,0.32,7,19
2,0.48,1,0,3,0.76,9,180
0,0.87,1,0,4,0.34,1,8
0,0.87,2,0,4,0.38,0,28
4,0.5,2,0,1,0.42,15,78
5,0.45,1,0,1,0.3,11,126
0,0.34,1,0,3,0.66,20,268
2,0.19,1,0,1,0.54,15,110
5,0.57,1,0,1,0.34,13,373
6,0.54,1,0,4,0.42,5,7
1,0.83,2,0,3,0.66,23,147
4,0.53,1,0,4,0.32,22,102
5,0.36,1,0,1,0.48,17,364
6,0.66,1,0,3,0.74,16,628
4,0.65,2,0,4,0.3,1,21
6,0.81,1,0,4,0.36,20,116
4,0.77,1,0,2,0.44,6,182
4,0.87,3,0,2,0.32,20,47
6,0.93,1,0,1,0.14,3,8
5,0.79,3,0,3,0.72,20,137
5,0.27,1,0,3,0.9,16,302
4,0.8,2,0,1,0.18,6,16
4,0.29,1,0,1,0.62,19,162
4,0.67,2,1,2,0.46,18,263
2,0.49,1,0,4,0.34,18,376
3,0.75,2,0,1,0.28,1,21
0,0.41,1,0,2,0.64,12,282
3,0.57,1,1,4,0.32,0,23
1,0.73,1,0,4,0.26,19,350
5,0.49,1,0,1,0.06,22,30
0,0.94,3,0,2,0.44,2,5
6,0.89,2,0,3,0.68,4,19
2,0.76,2,0,2,0.4,16,136
5,0.39,1,0,1,0.52,12,273
2,0.52,1,0,1,0.26,2,2
2,0.8,1,0,1,0.2,7,256
3,0.93,3,0,1,0.34,19,115
5,0.74,1,0,1,0.18,20,43
6,0.49,1,0,1,0.34,10,208
3,0.31,1,0,2,0.5,18,698
4,0.4,1,0,2,0.6,21,258
1,0.7,2,0,3,0.74,20,448
0,0.7,2,0,2,0.32,10,100
2,0.6,1,0,2,0.58,21,261
3,0.61,1,0,2,0.7,19,522
2,0.28,1,0,2,0.74,14,178
0,0.39,1,1,2,0.88,15,311
6,0.71,3,0,1,0.34,16,76
3,0.39,1,0,1,0.34,14,117
0,0.69,1,0,3,0.64,5,36
1,0.93,2,0,1,0.18,6,79
3,0.36,1,0,4,0.5,16,481
3,0.71,1,1,4,0.36,22,22
2,0.89,2,0,2,0.66,5,21
4,0.66,2,0,4,0.32,5,26
4,0.08,1,0,1,0.52,23,77
3,0.94,1,0,2,0.48,5,26
4,0.36,1,0,4,0.52,10,275
1,0.88,2,0,3,0.54,5,22
1,0.71,1,0,4,0.36,21,157
1,0.38,1,0,2,0.42,17,273
1,0.32,1,0,2,0.24,4,3
2,0.61,1,0,3,0.7,22,226
0,0.87,2,0,4,0.36,9,190
1,0.79,1,0,3,0.72,0,35
6,1.0,2,0,1,0.42,11,62
6,0.53,1,0,1,0.08,7,6
4,0.49,1,0,2,0.54,3,5
0,0.51,1,0,2,0.72,10,95
2,0.46,1,0,3,0.58,6,200
4,0.88,1,0,2,0.56,3,14
4,0.81,1,0,1,0.3,5,7
3,0.83,2,0,4,0.52,14,92
1,0.28,1,0,3,0.7,17,970
3,0.7,1,1,4,0.26,6,17
3,0.77,1,0,3,0.54,2,9
1,0.81,2,0,4,0.3,5,31
3,0.52,1,0,2,0.54,9,346
3,0.39,1,0,1,0.32,14,144
0,0.59,1,0,4,0.46,0,30
2,0.51,1,0,2,0.74,16,299
5,0.69,2,0,1,0.2,11,62
5,0.79,1,0,1,0.26,17,118
2,0.7,2,0,1,0.24,6,98
5,0.76,1,0,4,0.32,0,122
0,0.87,3,0,1,0.24,14,46
0,0.88,3,0,2,0.42,1,5
6,0.88,2,0,2,0.62,6,15
6,0.55,2,0,2,0.48,14,561
5,0.65,1,0,2,0.66,10,432
1,0.64,2,0,1,0.3,5,8
6,0.61,1,0,1,0.34,15,91
5,1.0,1,0,3,0.58,3,37
4,0.87,2,0,2,0.26,8,206
4,0.73,1,0,1,0.08,7,74
3,0.4,1,0,1,0.2,17,162
3,0.66,1,0,1,0.32,5,12
6,0.87,2,0,2,0.36,3,16
5,0.37,1,0,4,0.4,13,355
4,0.87,1,0,1,0.4,4,2
1,0.89,3,0,3,0.64,21,90
5,0.62,1,0,3,0.78,11,349
3,0.54,1,0,3,0.72,3,5
2,0.94,2,0,4,0.46,0,31
